,time,"('susceptible', 'All')",susceptible,"('exposed', 'All')",exposed,"('infected (active)', 'All')",infected (active),"('infected (total)', 'All')",infected (total),"('removed', 'All')",removed,"('hospitalized (active)', 'All')",hospitalized (active),"('in ICU', 'All')",in ICU,"('deaths', 'All')",deaths
90,90.0,15584157.97013092,15584157.97013092,31168.026530298812,31168.026530298812,77235.88400206728,77235.88400206728,1385117.7926987703,1385117.7926987703,1307438.1193367133,1307438.1193367133,,,2821.498940852395,2821.498940852395,101154.49527711529,101154.49527711529
91,91.0,15574088.646553958,15574088.646553958,30893.73917505069,30893.73917505069,76591.80946703315,76591.80946703315,1395461.4203163285,1395461.4203163285,1318425.8048039582,1318425.8048039582,,,2800.1025589874753,2800.1025589874753,102419.37394270807,102419.37394270807
92,92.0,15564110.02727599,15564110.02727599,30620.07412037934,30620.07412037934,75948.37466643767,75948.37466643767,1405713.7225322335,1405713.7225322335,1329321.5239371925,1329321.5239371925,,,2778.6780563341536,2778.6780563341536,103675.13403017903,103675.13403017903
93,93.0,15554221.855096912,15554221.855096912,30347.07399995521,30347.07399995521,75305.69453982118,75305.69453982118,1415874.9138856225,1415874.9138856225,1340125.3763633117,1340125.3763633117,,,2757.2300631137387,2757.2300631137387,104921.75161325204,104921.75161325204
94,94.0,15544423.859751629,15544423.859751629,30074.780464973905,30074.780464973905,74663.88181229042,74663.88181229042,1425945.2229631108,1425945.2229631108,1350837.4779711054,1350837.4779711054,,,2735.763144598153,2735.763144598153,106159.20492887925,106159.20492887925
95,95.0,15534715.758236432,15534715.758236432,29803.234185137713,29803.234185137713,74023.0469842731,74023.0469842731,1435924.8920714627,1435924.8920714627,1361457.9605941544,1361457.9605941544,,,2714.281800001109,2714.281800001109,107387.47435199263,107387.47435199263
96,96.0,15525097.255134283,15525097.255134283,29532.474850275426,29532.474850275426,73383.29832304352,73383.29832304352,1445814.1769106982,1445814.1769106982,1371986.9716923956,1371986.9716923956,,,2692.7904614407603,2692.7904614407603,108606.54236958994,108606.54236958994
97,97.0,15515568.042938843,15515568.042938843,29262.541172580874,29262.541172580874,72744.74185597821,72744.74185597821,1455613.346247841,1455613.346247841,1382424.6740325957,1382424.6740325957,,,2671.293492973009,2671.293492973009,109816.39355418817,109816.39355418817
98,98.0,15506127.802377062,15506127.802377062,28993.47088944987,28993.47088944987,72107.48136550047,72107.48136550047,1465322.6815915126,1465322.6815915126,1392771.2453679866,1392771.2453679866,,,2649.795189694586,2649.795189694586,111017.01453667798,111017.01453667798
99,99.0,15496776.202730138,15496776.202730138,28725.300766896115,28725.300766896115,71471.61838567165,71471.61838567165,1474942.4768675703,1474942.4768675703,1403026.8781172938,1403026.8781172938,,,2628.29977691496,2628.29977691496,112208.39397861154,112208.39397861154
100,100.0,15487512.902152691,15487512.902152691,28458.066603525727,28458.066603525727,70837.25220038665,70837.25220038665,1484473.038095974,1484473.038095974,1413191.7790433958,1413191.7790433958,,,2606.811409396084,2606.811409396084,113390.52254395676,113390.52254395676
